DW_CLIENTES;customerkey;customer
69cb7c25620dc16de8b0e9cbfefa9841ac4c30e5edbe7bfea1c53c4cadba0d26;10020227;MaxBan Shop
023c2387d6bff084315926cfc29e774514fdb5a0f29366d411d3362169139f76;10009676;Pereras
f76467e8b12b95f9562c610e53c022078ce6f22f865653ba354efe4f50438ab8;10014533;Harvey Shop
566dd9d637081655a3b582c19a2a7eb97bf3437326a32ddf0399012ca3eddf31;10011997;Fibronics Shop
3fb510a892a80417701773172e04f02d0c5fbbc37aefe055160fec9d61294d3a;10025571;Unitec Maxistore
6ce25bebb7a63c905dfbad68b130f673847ed671c60a9277e9df2a5a1bef2e86;10000474;A-ARVIN Store
d05a7aa868bf02216cccc1c19cdf5bfbbb1566b3a4ca1f0128d4bf7db9b1c3fe;10016549;Home Store
9cf689c4f52b11e2f0decc2fabd255bdd92e02040282cf6fb2947051aa750407;10007591;ComeStore
10eba465851d15558a1de740128df0611fa54a85881dcbe24c37f5c188b33d10;10008381;CAPCON Shop
653cc994276af4c6cf8be274447863bb32d836977b5fcce88761c39bc6c2e510;10020192;MATRIX Shop
cb73dcfca95b7ad05ec8f2b265d51c6bd5a8cbff78e8a7953fd4dbeae1ee3007;10025771;VA Supermarket
1f295d295f4b1e67f6d1d8de3bdce1b4ea6fae509965db39a7ccb8711d51e8c2;10025246;TECC Shop
c91ea7dc552e7ac8780fb0a7cf5621d1dd163b877c983632763675a22fad05a6;10021472;Parabole Shop
cf39e8bf33bd3d4df7a0d7eebe986b57f96718e4c6eeb673a30e75ec8b2fa39f;10013899;Grumman Market
0dbe2794331c081bbe330f4eedcc50e5bd171c65fd92154777f5f74b993dabe0;10025298;U. Supermarket
a73c9bc516245752eaa29bce006b172d9d5468f2b963192935d537d83ecd9b73;10025052;Target Gigstore
1d577d1bc1bbd41b878161bc9aaa1e6b47683996d8a17a9d5bd6e5dc53815104;10005043;Bezeq Shop
0db3472037471e7dba83496f48d2f33a20a9457782026ab1eff47689738f4a2d;10020306;McGraw-Hill Supermarket
3902690654b36a70782b62953e194e4a6561447010f84b9d3a53fed6d1435dab;10002154;Acer Superstore
6020a322e93a47ac9d2833a82af855283a1d2bfbee1d69da9a288ded74fc437d;10021804;Picka Superstore
2c358587ca240511e4458035712e818eb71965657d34a6dbe4544226a1884735;10023275;RFI Superstore
f76269217f5525b5b2eec65e9205c1d267009c4fcc9525cf3f35be4139c86cd7;10020909;Onestar Shop
e587e961ee69ff6032d2691d1f4f4e2e2fbbdf11ed44130d42152e2632e904bb;10017576;Illuminati Shop
824f5a653a5bd74338f989190054cb4ce855af4074faa6cd8fca03dd8363acfa;10008134;Canter Shop
2b3455623f28f02c50193b1f4cc62c72ccd69941a6f00b7b1cdf4e2faeadb8c7;10013397;G-Com Supermarket
710db7da1b02e08187abe5fadfe38f96b7ff47756deb7412a8b6b829ce5e8338;10024262;Signature Shop
c316db992c952acae7800408663e06bc84629e0683e39e897a22bb6e4711eecf;10022444;R.J. Market
f551af06d402db360be672693ae815f6ee5b0ff9d976ce14c6d10bb9a51da7af;10025302;U.S. Market
3637ec8ac4af625759ca45eb1cc936b4487e0f49435c0eb482f242dba0341ab6;10022249;Quantum Supermarket
c4da5a033a2f6aa09de25a5fe4fcbdc287ade1ccc5fda1a57da0bc3b11127941;10020181;Markets
c0aeb07f9d96fd58acdfc07970a7eb03861805239ea00ad6155ecd13b741457c;10009656;DCS Market
827818f0e003da697ae52c465c3b2cee067c52655b920b0b24caed0a73698a57;10009647;Dayton Supermarket
36ec772fd889558100da1646054bbc36e591180e514512731f817ca061191fc3;10005688;Bien Supermarket
621bb2b5a5dd662b0fcf5255356ea8cb61225e11922e25a845ddb2470dd6e156;10025241;TeamStore
e33b24c5a5b8be7467963b43cc8b57f88591626356006279746e96fc658d4328;10024924;T.M. Store
40015019f819d6d93d4c80fe0f902b50b4544bcf38d860bac455d7f0e83d330a;10022168;QualServe Shop
48c9eb85061cc054356b4cdc6f62a388d902aa109646dba1ef69742385bddb5b;10020982;Outsource Store
1f577a19d8226e5efad81eac5fac293531199eafd821bda8c21b200556bec5a2;10021242;Page Store
3f02081b7843dc49f0cafa47241911dddcf470790d3969298a4181f3a59085a5;10025247;Telesat Supermarket
6e92a5825c19aa5cf86782f7d233412a9cbc209eec93506ed8e1202aff9f3afc;10008602;Caprica Supermarket
6f508dd995c968b1717dfd93ac2112ff96087959f4dc93aceec5bd477ff00d54;10019678;Laker Market
6fb36f1d7e21592082f829cb76c3cdaf746e4652857bf8aaf9b5fe24a78385fb;10022732;RC Market
7fc571f9a9f792aa54d1788f924606a67a55634e46b8f109637f6e9313c0e0cb;10010912;edit.nl Shop
a632d8ba8e4fcb971b14cc4ebf4b140cb93e97aa2f78e60c30032a807374e7db;10021239;PADL Shop
30cf0745d3ca43c4bd0659cef70960ad4c967a30ef7f01baf3ab9f99cfe045da;10007457;CalComp Shop
d23d3b89ace24237c8ade0eb5d6f6c6ae79bbdb9c4356736a556d806c7a4d398;10027119;Yurie Market
76e7a038993bcfe6d1bcb910e52394a078c9e917637ecfacec5012e8551fa1ae;10011398;Ethyl Store
b4f624eeba2be48fa9cb083c8efef740995459ee37ee847c7f1a8f85ac153272;10016858;IBVA Shop
eb52eb13dab12f085db43a6ffe68db6a6724786f4fb13013362b66895f941a32;10012715;Fokas Midstore
e4e1b5a9fc8e7b4ec3be4ca2e16f2c062c9564cfac6760560199478ffbb6ead7;10002128;Access Store
4f0018dfb9a5dfc80ba4fdb42e3f5f9866528e2ba78aa035201e3570b78a8f5a;10020715;Old Store
54fe24dbc4c72c0a9c52d9c448ede145747ce1e67927e5424e735e39afe4bb2b;10016045;High Supermarket
88165e041e487e66000bb479943761a2e1a115f06c70d45f72071cf936fb98b1;10023760;SataMine Shop
5c7efe57c3dbc818898f3de71b5e617b8abb3b1fe59df12574eefebb4f9b4d6a;10025062;TargetedListings Shop
cf279378201e794c2c8e82ed5e6c96ec3469eba26c8d4b0ab015cb32edf8e0da;10022240;Quantum Supermarket
58d2fc9d75dab1b7fe1d85218f8199336754d617ee4920289162d5b3911bdd25;10013870;Greymac Trust Company
2b2ef081f89c72f0357c138cecc6cbbfd5bdf9a0bc540c74c0a32a2f2b58e89f;10021111;P.C'S Shop
e6db84a47c71cb9db56764e79a11fe6b6d2b300c50351575ae6d24ef07dce976;10013127;Garbee Supermarket
26920b6111e5d74b30b6f2fb21c9556cc697e6a6dc70b90d227ddaba23638632;10027381;Zero-Knowledge Supermarket
4f36509d1f04354383a6ab78e137b05f0d827171343c0741d315770cf0676331;10020915;Ottercom Shop
fbe19f624fbc38415a2bc2751b4260cd60fc601aa3edc8dafd001aaa80bfcd2e;10023235;ReviewBooth Shop
52fd8f184348be6589eeb8a0bef88584d1096747fe73800a8156bd2ec7bd21e2;10020962;Output Supermarket
771102cac442a452920a46778d226d4631e8dd6b708a1e628b07b20df7c95075;10026009;Vectrix Shop
5cc78c836bba61cd0d3eb0966be5952a3e174ded493bde14ffb4c24a0a4b5da0;10019942;LMAO superplace
9f708d6e2b89dfba88f0b28dccd9c7d8d3cb5a54b89c9e63b81a5ee2eb52d8b6;10002161;ACME Maxiplace
945b229e54c662d47f28b2a399e3d4c9997c3a63b342bee808f6d5a367be07eb;10023489;Robust Store
d01d8bff949f00484fe921f1e4d94e2524a17e00556aa738e13c54c39b6ef75d;10013332;GateMaster Shop
dc0e854b14652ef942ec9e18dce8e59d7d57f89728d38b0a56955e72a9d10e3c;10010832;?change Store
925d9b82193bdd70a398d9699fb20f67a494e4647313ece7f2e7fb6d9b807f3c;10023022;Renaissance Supermarket
b65e47faa88411a508ce5bb4cbedd299047a763d1f73d6b64f7d9b6b8153b821;10013538;GEAR Shop
f88322995254deae9ac9c27fdfade7719aec04c6f0bf58344c0a4b80cf0ec83d;10006916;Boott Store
7d181444ca5a96525e9354629d3164d3cd7f3c6806365264b0a0e574e15101ba;10010865;ECS Supermarket
525866302a4bbcbbe67329a5579983bb54bb0a07a6556044f62edf2f3ab0ca49;10022730;RC Shop
a139a468e26f470920b6876c3943bcf90619e4b402d7a0e788263a088b48aae1;10014546;Hauppauge Supermarket
5435370b198ea1a95d9abf17b632e2d82b8e510e9a5e0eae43f650d57e7221e9;10012234;Filmotype Shop
22c0f1f0e83acbb355982215901733f7bada44b642d2426fd63bb9c30da1d788;10022252;Quantum Supermarket
64feb8a6df764e771c0eefbc98258bd1c551fd9b269048d19bced4810c823da4;10009623;Chas Market
a43347c244bfd30d53fe143e2377f3b56de176582fd53268054c8382a44b85fa;10012235;Fimetrics Supermarket
c43e058747c680fadc813de4da22913fb8146991b39b0ffcb372af491c18f703;10007448;Cajun Shop
771f6aa689c893efd769e73cdac547a5be73f0cda1a47910a6b4e2a8ed735b0a;10012600;FireTrans Shop
ca7ea7a2b462f2a5efecb762374a87933aeee689612afe3e2aa8e3f0ba3f9924;10013472;GE Market
1ce0f5a71c2b8f765286a4c1c6d0d95db8f696671bd1fd82c04ded73fbeacb90;10000462;a2i Shop
822f9b194e7b80a85fe9dd0e6e449467202335c2b4627fdd695f95afae0e5bbf;10025269;Toledo Market
d6747522b68a5d65f845fc8d83a07b0db2092a90dd483402b46d2f701244d6a9;10007564;CAM Market
7d2e2d54299bbfbc6bb91298614c2bef43a2f1aced96a1bad172dc42af0a7630;10002506;ActionWorld Shop
e59601f2c8c651808959e01e53149d496dd596f04a25b32b781e03e30a9e948b;10025021;Tailwind Shop
d30dbbbeb8425bb9f46eea5be2602de40ee477856f429f6af783e120f457788e;10027575;Zitel Shop
8f8049a3e7b0392c7411015cd94d18f0180be6d466b50bd4f848da609f326bf8;10026023;VEI Shop
1046417cb787756c1803b113580b70488649415e76d032ba0b52536f1c0197c4;10025919;Vanstars
5a94132f2dee105346da38a5c62df0e64a04532e8ae26d62f569e699afa637db;10009885;Degolyer Supermarket
b92e2526fe6559d362c2eac704536b255f00ad4b490cfd3cdca21c292d2a73b6;10016113;Hill Supermarket
48daf10aac6d4d63000ecf0e8addc97ce119c260415de115aee1894984662594;10010923;Edmark Shop
bb9e63d441b5240544ee0d10ded3aad4eee2e223c413cb0e94a194ff9a7ca504;10015824;Heurikon Shop
caa65b640adb36f4a9611578a6d8040a5881f4934e0084fb1a957602cf260e0b;10019952;Lobster Market
d9368b7b187c4cbbb4f582cb51f95a30d732c798b2aa60dc195fc88089485166;10002149;AccuLAN Shop
6f5bb3cb5b82b0254b843ec8d81a3bb6e1043a7b238565ae062a192db383142e;10000457;A&G Shop
1f45362329b8be439fca2ac55ca0995b048b81bfe58f8a2f97ea7ba873a09a2a;10021977;Pinnacle Store
214a287612f160c4efe9f806ef0540b643aeb2de4c4259059274b59dbbc5c507;10022764;RealiDyne Shop
15c766c4517d128dba074f92d13ad54d1dc54707912617dc32e6caf354833908;10011600;FCS Shop
42c19b4ccc107b9e4b87c40453066f9b6b7c1b9e4cef35270ee035dfbc6fb26b;10021222;Pacifico's
9273784346f821bb860fe78aa397f393f099dc9bbc8119a947a1ee6e9a41c4bd;10010882;EDA Supermarket
d41685cfd0ac27ba6b2bea728539368f08e1bb7122f12c990ba8e1874a4e0bc9;10000466;A2Z Store
e54b333fadfe3622143d15450f780959f034b70ff28156cd0e63f8fbe9c4fc21;10010974;EDS Shop
5fdaf6de6619420d203e4f9e469cea240e5cc3e5e806c06d115836681c763ccb;10025025;Taligent Midstore
83d74ca250c50b2b5f68f726f2d79ee4cf1744bfff27e21d79f3e25acf804a56;10025285;Transalta Store
8c7c64f3b5f27a592abd4d9e2466675d2c676d8c65694cb01b5405aa03792da8;10016334;Hobart Store
c2c20fb36261c09f19c94705aceeeb6ea2bee2acb63f7c5341aed99e557e9275;10021204;Pacific Store
e211d55b21e9e09867f3f67a5f96e40b4310384bca53c2ab7c6dcbfaf51039de;10003749;Associates Shop
b8dc037eab3bca02eb4fe5b72f9edd2467ee4f8e442724d6242cc906799a917e;10017553;iLanguage Shop
f920663cd2bd765a5bbc96ce0c8d2da6dd3e2cf549cbe7c4f4ba2e02559245da;10025158;Taskers Supermarket
90e662b7865ebd4c17658a683f2a3f758d0a427687686a5f617952b0d49ad26e;10009156;Carden Supermarket
62a64d8717556f82bf2aaf0412981e047705b0a40ac64c59202a847e31a4c20a;10023023;Crew Superstore
1602a34279949eaef25b4c0d59641e8a84a9696bce1defb4ecc1d734621fe7ed;10023524;Salias Gigaplace
85ba115c8bffb3f4c2e57d2dffa4b39ed46b9d458f0882f3b61a92f2453aef30;10010990;Elbit Market
bac8f54e20f1115f6121e177508ad8f732b928ec1e45ec4491dc5b58bff23d90;10025040;Tangent Shop
f6f01fc318c4d96f8d691cc537b2de52a83958251c6c1e36ee683c0bc1f031c6;10021145;Pacel Shop
7b169f5d5febac0305140b02addd6bddc21856314adda0d11519852f0596e6b7;10026334;Wayne's Market
d05a9072285fee669f450a09862586bc12817629acdad123cb16b89e5a4e8b66;10025250;TICOR Shop
0021d41e2b219ed58c6b1fc154dea604c74bab3b29f87ff0a13a37829a7255d4;10022725;Razorfish Shop
7b8533b1ad30d0562e2555aac136991e962eb3ba0db91add50e7f6c3b3a7a796;10009907;Del Supermarket
2910f2267d0718e68d2f2d451483ed96bc4f0ba2637fbb7b3f62e00d2fb3073b;10012885;Gainunion Shop
63dc8e367322b0fe6c56fb38d60fd52725e6cb80a6f198db09b635591c2f66b6;10025769;UUmail Shop
1220e21e383ed839f0a630382370a42b94ddd99836fa714b110474ad7d9b2b98;10025814;Valpatken Shop
bfe5f8be5fbc948083b5b5eab27ae63e6e92071ffde91ef44cf4403710b2c7cf;10008596;Capitolnet Supermarket
f54337b81c5de230b75bf81842732e7f6357427ee79bae3243da4c71835c0b35;10013670;Gehlken Supermarket
9f0b32977b3c29fda618037c616df3b382d1f00191f0eab354345434fd59f23b;10014802;HBS Shop
3bd9e2223226ff2c46f9f31f3550110e6091995b49ad9f67ae225371800f865c;10002144;ACCUCOMP Shop
401f39084919f0a6550ddbb28280749949f11312eac8d1456359cb3b354485b9;10027050;Your Market
b58c6988db78b1600d43e5a5fb6fba5b5e097c5932f486bdabe1eef634a5ca50;10017585;Ilog Shop
f216e9bfed1e97c18b08af9cff966cc6f173f6e764fb72b6e4cf2bae6da0511e;10001818;Acc Supermarket
c75a1bbda3f97b658ad60d12fa3f54fb4b949c671d821af9a9d96526577a870f;10009672;DEAC Shop
1ea79e4c11b5f22aed0431ea029dba2c2512e3030341fbacffa7f59f182053d5;10024499;Soloman Market
5d41576f0139fa33b0fb3909fef69573f2e26b6e77db82d1a23ba0048e0ddf4c;10026839;Xtreme Shop
22803b5b132be0f5372334cebc87e6f87aa9f564636b970000da3e77b2c3eee8;10026081;Ventana Maxistore
3fba16b992fa0ceaea7bfb7338a1bba8ef8d1a38fea537fc96cc7c682774e460;10012157;Fifth Store
461812ecdaa1594da55e8fbc20f7b46eb65da69b6b8bd15a2c6b9ce1d58f0f2c;10025238;Team Supermarket
8a918689128450a2ca0a48d6a031ded64024593a929638fd69864198b4232cae;10020446;NACSCORP Shop
0661bba2b7122fdf78c36552fbce8d8b1514aa967d4aafe6a33c3c675a58ea79;10000475;AA-Wizard Shop
cc955280eb3f5e6fcb2156030001b93e80e3746a25685eda099028b59adf835a;10008638;CAPTA Shop
a501bdfa22aad31f0a10434c303092a354e3c49f4fd4829c5e15b289a225519c;10025392;Ultimate Supermarket
d198cc7c33a89ab1b820b233e47d4808cbf0e5552ef6729079df9bc7da561e6e;10018363;Jones Stores
821727d1c491d3e4c75d7671e4b7d84a1ef5c69adbeca69ee8f90467e0efb4f4;10021422;PAP Supermarket
ea2aac14e15bc66c7b8ca5ab172085e46d73e6ad7adaaedcee38785c3c888618;10011870;Fenwick Supermarket
e8dce01b0f206199b208e7ddce2c547ef1ca29f4dc603ab65dbb20cbeee4a73f;10022978;Relcom Shop
c5e99dc5c578159079bb3f67184783b0b138bfb7d96887e0ede61cc705f27edc;10011355;Enterprises Shop
fa602216c3d7b29cc161c0f8e61567e261a5bdc40f34277142cdf7d68ab945ff;10025086;Tartanchase Shop
ad0af725e63a17ddfb112dd8320757a2297f1bf8352f1e438e3c0b82e635b3c0;10025495;UniForum Shop
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;"";Não Informado
01b75f01e8f5f98a0bd4c4e18ebc7d42e196277479aa09ab380e077d9814d44e;10024725;Stone Market
4c0e056aa73dfab3afb0d3504cf2e85e7b23c8ee92c456a082a7bf672d79a46a;10009679;Debenhams Supermarket
08700d32878fef3ce5235a36ed843de072f0db52f0f8d2dfd5665fa56febd246;10014043;Guarantee Supermarket
dd44d5916533076d68acca702768ad7100d3cd964ccb4851df3bd324f3056b07;10011623;Federal Supermarket
e4bfcf1119bb3008ff38f5545a289b9a77247cc3fa5f4e95bf9518154eb210e2;10013232;Garza Supermarket
b0e2244e52ebacc981aa53f80e34f3734ca26303a2b5618f043bdc2c16fac540;10025243;Teca-Print Shop
af98e1baf9bec79cbfca1a9668a0687c109c84d014427fda9dc1d64efb2a9065;10011842;Fentek Market
7e144d606b7be035d0d72c8a2c6e899823680ab12c0f87be80a5e4750533351e;10022201;Quantum Shop
b9d523f52446455498c8823423970c91ed1738b55fc9c51ff6182517cc2f24fe;10023003;Remedy Shop
de38f1da8f7f277046d05c8c135aa21f651e5766670aa1e4af3d0db09510dbb8;10011052;Elucidex Shop
a391e1148348fd98c8ed1a8ccb87b2cc8f34b799e69b10d59e814e4762e85790;10021411;Panix Shop
0bbf6167f9a8f0da29b630669145c33e973a2f98a42d739679dc75c74aed6753;10020492;NBTel Shop
8d1a944d7e4361f582ba13cdd85f836646fe6c7e584488adce14b20005ce5094;10027583;zNET Shop
5b43cf28475d6308aa6a84fcc166e916062cb9bd55275302b5815ea15d03bb56;10021175;Pacific Supermarket
ef2bfd6088305341d8785a90771cb775f460a2acd77d3ea07694e53b139ed840;10017638;Kellys Gigastore
d60608f7d5af4d19bbab149725c2d9ee0569af2f1750feedb523a0d0257d03c5;10003720;Age Shop
ca66f09b0d32c8467c73583c4ceb499ce82457809bd8301b3cfc36d9d6e747fd;10019880;Litton Supermarket
20514542e9201f4f24ca4e48da3bf89838cb4952d0453b9859bd4c9cdc191199;10002969;activeDesign Shop
18a2aa127b23b0a3598c8270f9e32c29141d7cf9307977160ea4adeb19f42a82;10011089;Embedded Supermarket
047748aa4d82bfe923abca684f428d4b2fb27092651902f3c9d0fdef2ab37ada;10025034;Talou Shop
345d91c753030b2e2d0d5b01914f74e7c38e2e7f2ecd66923f94b4223681545f;10025251;Time Supermarket
bfd71cb7e695b581b05184340ee5abf908509524f19a48918d8e423209353120;10005810;Big Shop
3e54c90638177efc0c8b7bda032cf88a81795a0e087dba6428a37e66b2598411;10026055;Dellovade, Supermarket
6f299e7635b5a5d021a5b4a63fb10a145f381f1b87c93daa78e427ec464581ab;10003882;Beech Supermarket
2a522009e71db935e2b5fea4bad456fc334778d05f339de6a514089cf82b9ba7;10003857;Beckman Market
7ab8512103630dc1f4349e4d8235f0b51bc48e86473fb95a50f568d575a31259;10021736;Patton Store
8868aa9cd70f5e4c528dd2bf822ef2f2b0f95494aa80d34f96d59fa7cc90b521;10024704;Sterling Store
55dc3ad4684edf236dba71f65c6aa06e3b1226f5ceca6d2911f4c1e3a3f540cc;10025467;Underwriters Supermarket
f7bce916fbc866d0c8c1b15a00f3d51823e1fd0e8765916969a47a3332a2324a;10019664;Koppers Supermarket
7c055512b506ceb85dd4250acb1ca3268d3276fb0ca656a109cec7a94726855a;10025024;Talarians
a40aea4b5cadcdfecbdddf32e8e6540d2c2212198cb5e4439b12e5d0fe4fd971;10025061;Target Store
7bea164c84627c54ee94ca2dba50c9d39166005a53ed59a284fc8f128e8c5e46;10014803;HCHS Shop
50a2cba9717ae21c2f936dda58f06342850c56066c0877914540926e843734c3;10000496;AboveNet Shop
56baeaaec4c3891028866b5c843a1a6b1428edac3bdbd956cc1ce3195d74ac29;10023513;Sagent Shop
7564a8655b6a8be8e54dcba38f247f1fa2ba334a211678ab502e36877afbf880;10000455;Caribian Supermarket
9959de80d7d5d2c707d4a7d788751a1c5f9cb2755fbb22ec2c81a99dd1812de3;10012422;Finishing Shop
05d19fa0848b286a1b7f2e1024e87bae211ceece7ed1bd2837d8d64db557f698;10017852;J.A. Supermarket
839d8b8a40e026ef785da76de5a3d7a0e6d1b9c0a5209f92c5414f9de8063383;10012305;FIND/SVP Shop
7e91cab69aaa6d99fce113bd09528f1f5d2ae10c28d0b309ff61152d5323fae3;10013341;Gatierf Supermarket
3eed166892be88b98910c88529b3f19471206ce3f69642ca771dc61dc1cf4c96;10020281;Mb Market
b610a1b98e5e5cc08ff4b17208f44cd37250a012650bf08ca5c0d1a729fb882d;10022456;Ra Maxistore
c4cbbeb62d7e3db8454cce60d6bf2f8344f09c97eae7beed7584d2d454cb73bc;10025296;Trust Supermarket
f59fc71ffb6016c2c56c15817408039eca42c057ddf8cf2da9f269fd17bc30c3;10013252;Gate Shop
9b3f771017db16d0cb719b3f66947d295058c5143dbcc4636e2f08394c827597;10020184;Matradi Megastore
cd1b43fb8425221246dbe521a26c970b7cee71cde24a2ab91510ca11abfbb36c;10009669;De Store
ec84685904a8ba5181504ce9bf7a7f015699ec0f74b9376ac7b587b9bb381093;10018877;KAT Store
36c324d6e958dbbcb5ab43c3f7daaf7785061dffcce53b2a5700da47481ed7bf;10024915;Systems Store
4347a7bec606c41e661a63c96b0748b35ff5e9df9aadfff0f2ceccaa5d0002ef;10020931;OutPost Market
89210ea2e589916cffa059349c78261c1f7a5c2fb4704b88ab32dd05eed9e955;10020448;Nanao Shop
f107c014a8f7038b064bdb92aa935c17d3c30629838c96c86d451c1852a91802;10026299;Watcom Maxistore
f7d0b83a134557e855cb42dc42137e5555e3265bb6b340d34441d55ba28f3be4;10009662;De Store
7bf5c97a47099b36d312d40ce1e4a9ffa57a15e6578cb4d88b305e9be3f6728c;10020868;One Market
e9ba95fed2286cd3c021a248bdf321832b5649f4d49fef280fc8da6c88987526;10026078;Venred Shop
e92fe8b4a54b3ec2ecb2601de5339090cb039903ddbe0c877578381bc7e7f0b5;10027053;YourFuture Shop
8d6f683919b68fb1a577338f41e17cd32c8136c29a2fafe36cf4d623991a57eb;10007866;Camros Shop
caaad38022f647ba532ad384b02a534e967fb91f94b319234d38dba59ba34bbc;10018868;Karickal Store
cfe11da669b117dd4c274ad4082f519e0870682632d633c03f17a7ffb9340fa7;10001103;AC Store
dc6f9d9e440237228286cf2b3421d739742f68733d423717b9d944e0d49f70ef;10023221;Reveal Supermarket
2a995db8e95f7a49bbd7e7c070d80bbe5f525b3b379a604f72abffb908aa6e7d;10007117;Bre-X Shop
e6fcfe2025ce90f78c6eb72bebcb251091f4bca8f37827b89b0305c009a43b7d;10024270;Signatures Superstore
eff7c42572e0c3edda31e59ba3ad0695fa1d90a7d56149e5f25be634b9e561a3;10016784;IBEX Shop
7bc05501c4b99c108c2c65e66351892ca63c00f12774cbff413b8bd0a2c8acd5;10012161;Filetron Shop
7c7d96a3cf22b032453921ca5d07b36720c90852603d36f746c425e4bfeec0b7;10025359;UKnames.net Shop
f9885262a66109eeb724e22689c46a225d7010528c1eaf0a705760f0e495ee5e;10013871;Grove Supermarket
a7462a1ec10b588f00aad038ada1bbbab5d1b492dbe127d84706a78a163af4db;10013572;GearSource Shop
5b65c652c5c49663c51327df633484c2cd635ad190c40cdefa7993b49018c378;10002709;Active Store
2630158a833cdcf6536bc40326e761388cc2ec3684002d482415a00f39c19356;10008593;Capitola Market
820ec10121189a7f96f50e2d13a1be40fccb85cf9af978cb3703f3e1c64999d8;10023783;Saturnus Supermarket
305cc206f5753fd975cf4df060b19762ef1e6161f7f9a0be12728cee27b3e928;10017290;Id Shop
821d6c75e3902877ba210d0b2f09134781b580c337813ad0b02882e9d5c16e83;10011979;FiberPlex Shop
2e4e04c8edabb68ec5995a508f1ff0782f2ef4a74b177ec6545dc6906b20235c;10025239;Teamaker Shop
